,author,contributors,coordinates,created_at,destroy,display_text_range,entities,favorite,favorite_count,favorited,full_text,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,parse,parse_list,place,possibly_sensitive,retweet,retweet_count,retweeted,retweets,source,source_url,truncated,user,quoted_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink
0,,,,Mon Jul 25 06:31:07 +0000 2022,,"[0, 204]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/eXpn6fRoYl', 'expanded_url': 'https://www.espn.com/nba/story/_/id/34291954/boston-celtics-teams-engage-talks-brooklyn-nets-possible-kevin-durant-deal-sources-say', 'display_url': 'espn.com/nba/story/_/id…', 'indices': [181, 204]}]}",,20979,False,"ESPN Sources: As Brooklyn Nets star Kevin Durant’s trade request approaches its fourth week, the Boston Celtics have emerged among teams engaged in talks on a possible deal. Story: https://t.co/eXpn6fRoYl",,1551454984314753024,1551454984314753024,,,,,,False,en,,,,False,,3076,False,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,False,"{'id': 50323173, 'id_str': '50323173', 'name': 'Adrian Wojnarowski', 'screen_name': 'wojespn', 'location': 'St. Bonaventure, NY', 'description': 'ESPN Senior NBA Insider', 'url': 'https://t.co/BSi8UGrj5q', 'entities': {'url': {'urls': [{'url': 'https://t.co/BSi8UGrj5q', 'expanded_url': 'http://www.espn.com', 'display_url': 'espn.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 5595530, 'friends_count': 1919, 'listed_count': 35157, 'created_at': 'Wed Jun 24 14:43:40 +0000 2009', 'favourites_count': 10659, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 22692, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '642D8B', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1509990164415893517/qIuzsMq6_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1509990164415893517/qIuzsMq6_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/50323173/1501272451', 'profile_link_color': 'FF0000', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDFFCC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,
1,,,,Sat Jul 23 16:04:49 +0000 2022,,"[0, 116]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/gSqjV88tny', 'expanded_url': 'https://www.espn.com/nba/story/_/id/34280742/phoenix-suns-coach-monty-williams-agree-long-term-extension-sources-say', 'display_url': 'espn.com/nba/story/_/id…', 'indices': [93, 116]}]}",,2981,False,ESPN story on Phoenix Suns coach Monty Williams agreeing on a long-term contract extension:  https://t.co/gSqjV88tny,,1550874586186752000,1550874586186752000,,,,,,False,en,,,,False,,295,False,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,False,"{'id': 50323173, 'id_str': '50323173', 'name': 'Adrian Wojnarowski', 'screen_name': 'wojespn', 'location': 'St. Bonaventure, NY', 'description': 'ESPN Senior NBA Insider', 'url': 'https://t.co/BSi8UGrj5q', 'entities': {'url': {'urls': [{'url': 'https://t.co/BSi8UGrj5q', 'expanded_url': 'http://www.espn.com', 'display_url': 'espn.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 5595530, 'friends_count': 1919, 'listed_count': 35157, 'created_at': 'Wed Jun 24 14:43:40 +0000 2009', 'favourites_count': 10659, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 22692, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '642D8B', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1509990164415893517/qIuzsMq6_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1509990164415893517/qIuzsMq6_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/50323173/1501272451', 'profile_link_color': 'FF0000', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDFFCC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,
2,,,,Sat Jul 23 15:58:58 +0000 2022,,"[0, 239]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,14368,False,"ESPN Sources: Phoenix Suns coach Monty Williams has agreed on a long-term contract extension. Williams, the NBA’s coach of the year, had two years left on his original five-year deal — and now moves under contract for several more seasons.",,1550873111041646592,1550873111041646592,,,,,,False,en,,,,,,1450,False,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,False,"{'id': 50323173, 'id_str': '50323173', 'name': 'Adrian Wojnarowski', 'screen_name': 'wojespn', 'location': 'St. Bonaventure, NY', 'description': 'ESPN Senior NBA Insider', 'url': 'https://t.co/BSi8UGrj5q', 'entities': {'url': {'urls': [{'url': 'https://t.co/BSi8UGrj5q', 'expanded_url': 'http://www.espn.com', 'display_url': 'espn.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 5595530, 'friends_count': 1919, 'listed_count': 35157, 'created_at': 'Wed Jun 24 14:43:40 +0000 2009', 'favourites_count': 10659, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 22692, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '642D8B', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1509990164415893517/qIuzsMq6_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1509990164415893517/qIuzsMq6_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/50323173/1501272451', 'profile_link_color': 'FF0000', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDFFCC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,
3,,,,Fri Jul 22 20:07:00 +0000 2022,,"[0, 106]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,8087,False,"The Washington Wizards are finalizing a deal to hire James Posey as an assistant coach, sources tell ESPN.",,1550573144838213632,1550573144838213632,,,,,,False,en,,,,,,680,False,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,False,"{'id': 50323173, 'id_str': '50323173', 'name': 'Adrian Wojnarowski', 'screen_name': 'wojespn', 'location': 'St. Bonaventure, NY', 'description': 'ESPN Senior NBA Insider', 'url': 'https://t.co/BSi8UGrj5q', 'entities': {'url': {'urls': [{'url': 'https://t.co/BSi8UGrj5q', 'expanded_url': 'http://www.espn.com', 'display_url': 'espn.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 5595530, 'friends_count': 1919, 'listed_count': 35157, 'created_at': 'Wed Jun 24 14:43:40 +0000 2009', 'favourites_count': 10659, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 22692, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '642D8B', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1509990164415893517/qIuzsMq6_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1509990164415893517/qIuzsMq6_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/50323173/1501272451', 'profile_link_color': 'FF0000', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDFFCC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,
4,,,,Thu Jul 21 01:18:12 +0000 2022,,"[0, 192]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/f0KevT496L', 'expanded_url': 'https://es.pn/3IVgMLR', 'display_url': 'es.pn/3IVgMLR', 'indices': [169, 192]}]}",,2288,False,ESPN story on the NBA fining Golden State Warriors owner Joe Lacob $500K for publicly criticizing league's luxury tax system and discussing collective bargaining talks: https://t.co/f0KevT496L,,1549926682777329665,1549926682777329665,,,,,,False,en,,,,False,,213,False,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,False,"{'id': 50323173, 'id_str': '50323173', 'name': 'Adrian Wojnarowski', 'screen_name': 'wojespn', 'location': 'St. Bonaventure, NY', 'description': 'ESPN Senior NBA Insider', 'url': 'https://t.co/BSi8UGrj5q', 'entities': {'url': {'urls': [{'url': 'https://t.co/BSi8UGrj5q', 'expanded_url': 'http://www.espn.com', 'display_url': 'espn.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 5595530, 'friends_count': 1919, 'listed_count': 35157, 'created_at': 'Wed Jun 24 14:43:40 +0000 2009', 'favourites_count': 10659, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 22692, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '642D8B', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1509990164415893517/qIuzsMq6_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1509990164415893517/qIuzsMq6_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/50323173/1501272451', 'profile_link_color': 'FF0000', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDFFCC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,
5,,,,Thu Jul 21 00:26:20 +0000 2022,,"[0, 265]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,13951,False,"ESPN Sources: The NBA has fined Golden State Warriors owner Joe Lacob $500,000 for his recent comments on the Point Forward Podcast discussing the league’s collective bargaining talks, which included Lacob describing the league’s luxury tax system as “very unfair.”",,1549913630426161154,1549913630426161154,,,,,,False,en,,,,,,1167,False,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,False,"{'id': 50323173, 'id_str': '50323173', 'name': 'Adrian Wojnarowski', 'screen_name': 'wojespn', 'location': 'St. Bonaventure, NY', 'description': 'ESPN Senior NBA Insider', 'url': 'https://t.co/BSi8UGrj5q', 'entities': {'url': {'urls': [{'url': 'https://t.co/BSi8UGrj5q', 'expanded_url': 'http://www.espn.com', 'display_url': 'espn.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 5595530, 'friends_count': 1919, 'listed_count': 35157, 'created_at': 'Wed Jun 24 14:43:40 +0000 2009', 'favourites_count': 10659, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 22692, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '642D8B', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1509990164415893517/qIuzsMq6_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1509990164415893517/qIuzsMq6_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/50323173/1501272451', 'profile_link_color': 'FF0000', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDFFCC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,
6,,,,Thu Jul 21 00:22:45 +0000 2022,,"[0, 93]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Lda4P5ZIc8', 'expanded_url': 'https://www.espn.com/nba/story/_/id/34273332/sources-james-harden-philadelphia-76ers-agree-two-year-686-million-deal', 'display_url': 'espn.com/nba/story/_/id…', 'indices': [70, 93]}]}",,2113,False,"ESPN story on James Harden, Sixers reaching a two-year, $68.6M deal.  https://t.co/Lda4P5ZIc8",,1549912731997929475,1549912731997929475,,,,,,False,en,,,,False,,219,False,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,False,"{'id': 50323173, 'id_str': '50323173', 'name': 'Adrian Wojnarowski', 'screen_name': 'wojespn', 'location': 'St. Bonaventure, NY', 'description': 'ESPN Senior NBA Insider', 'url': 'https://t.co/BSi8UGrj5q', 'entities': {'url': {'urls': [{'url': 'https://t.co/BSi8UGrj5q', 'expanded_url': 'http://www.espn.com', 'display_url': 'espn.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 5595530, 'friends_count': 1919, 'listed_count': 35157, 'created_at': 'Wed Jun 24 14:43:40 +0000 2009', 'favourites_count': 10659, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 22692, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '642D8B', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1509990164415893517/qIuzsMq6_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1509990164415893517/qIuzsMq6_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/50323173/1501272451', 'profile_link_color': 'FF0000', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDFFCC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,
7,,,,Wed Jul 20 23:07:48 +0000 2022,,"[0, 201]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9UM0LArYzH', 'expanded_url': 'https://twitter.com/wojespn/status/1549893084011446274', 'display_url': 'twitter.com/wojespn/status…', 'indices': [202, 225]}]}",,4840,False,"Harden will make $33M for the 2022-2023 season, and has the player option for $35.6M in 2023-2024, sources tell ESPN. He can move right back into free agency next summer and negotiate another new deal. https://t.co/9UM0LArYzH",,1549893867360731138,1549893867360731138,,,,,,True,en,,,,False,,728,False,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,False,"{'id': 50323173, 'id_str': '50323173', 'name': 'Adrian Wojnarowski', 'screen_name': 'wojespn', 'location': 'St. Bonaventure, NY', 'description': 'ESPN Senior NBA Insider', 'url': 'https://t.co/BSi8UGrj5q', 'entities': {'url': {'urls': [{'url': 'https://t.co/BSi8UGrj5q', 'expanded_url': 'http://www.espn.com', 'display_url': 'espn.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 5595530, 'friends_count': 1919, 'listed_count': 35157, 'created_at': 'Wed Jun 24 14:43:40 +0000 2009', 'favourites_count': 10659, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 22692, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '642D8B', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1509990164415893517/qIuzsMq6_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1509990164415893517/qIuzsMq6_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/50323173/1501272451', 'profile_link_color': 'FF0000', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDFFCC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,
8,,,,Wed Jul 20 23:04:41 +0000 2022,,"[0, 132]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,33211,False,"Free agent James Harden has agreed on a two-year, $68.6M deal, including a player option, to return to the 76ers, sources tell ESPN.",,1549893084011446274,1549893084011446274,,,,,,False,en,,,,,,3666,False,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,False,"{'id': 50323173, 'id_str': '50323173', 'name': 'Adrian Wojnarowski', 'screen_name': 'wojespn', 'location': 'St. Bonaventure, NY', 'description': 'ESPN Senior NBA Insider', 'url': 'https://t.co/BSi8UGrj5q', 'entities': {'url': {'urls': [{'url': 'https://t.co/BSi8UGrj5q', 'expanded_url': 'http://www.espn.com', 'display_url': 'espn.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 5595530, 'friends_count': 1919, 'listed_count': 35157, 'created_at': 'Wed Jun 24 14:43:40 +0000 2009', 'favourites_count': 10659, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 22692, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '642D8B', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1509990164415893517/qIuzsMq6_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1509990164415893517/qIuzsMq6_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/50323173/1501272451', 'profile_link_color': 'FF0000', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDFFCC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,
9,,,,Wed Jul 20 01:03:43 +0000 2022,,"[0, 136]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'espn', 'name': 'ESPN', 'id': 2557521, 'id_str': '2557521', 'indices': [103, 108]}], 'urls': [{'url': 'https://t.co/we82ydbr93', 'expanded_url': 'https://www.espn.com/nba/story/_/id/34269677/felony-charges-filed-charlotte-hornets-miles-bridges-domestic-violence-child-abuse', 'display_url': 'espn.com/nba/story/_/id…', 'indices': [113, 136]}]}",,15924,False,"Felony charges filed against Charlotte Hornets' Miles Bridges for domestic violence, child abuse - via @ESPN App https://t.co/we82ydbr93",,1549560652083208196,1549560652083208196,,,,,,False,en,,,,False,,2192,False,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,False,"{'id': 50323173, 'id_str': '50323173', 'name': 'Adrian Wojnarowski', 'screen_name': 'wojespn', 'location': 'St. Bonaventure, NY', 'description': 'ESPN Senior NBA Insider', 'url': 'https://t.co/BSi8UGrj5q', 'entities': {'url': {'urls': [{'url': 'https://t.co/BSi8UGrj5q', 'expanded_url': 'http://www.espn.com', 'display_url': 'espn.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 5595530, 'friends_count': 1919, 'listed_count': 35157, 'created_at': 'Wed Jun 24 14:43:40 +0000 2009', 'favourites_count': 10659, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 22692, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '642D8B', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1509990164415893517/qIuzsMq6_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1509990164415893517/qIuzsMq6_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/50323173/1501272451', 'profile_link_color': 'FF0000', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDFFCC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,
